Carrier,Month,DeviceModel,Number of Customers
"","November","ASDASDASDGH-12312ASDWRX123TT","1"
"","November","ASDASDASDGH-123ASD0ASDD123123CIN","1"
"","November","ASDASDASDGH-CQWE1ASDZD123CIN","1"
"","November","ASDASDASDGH-D35ASDMASDASDASD123CIN","1"
"","November","ASDASDASDGH-E315CASDASDASD123TMB","1"
"","November","ASDASDASDGH-I33ASDZBM123TT","6"
"","November","ASDASDASDGH-I33ASDZKN123TT","1"
"","November","ASDASDASDGH-I60ASDZK123CIN","2"
"","November","ASDASDASDGH-N625","1"
"","November","ASDASDASDGH-PASD35MASDASDASD123TMB","1"
"","November","ASDASDASDGH-T229ASDASDASDR123TMB","1"
"","November","ASDASDASDGH-T309DASDASDASD123TMB","1"
"","November","ASDASDASDGH-T309DASDASDASDBTMB","1"
"","November","ASDASDASDGH-T399RN123TMB","29"
"","November","ASDASDASDGH-T629123ASDASDASDBTMB","2"
"","November","ASDASDASDGH-T819CNBTMB","2"
"","November","ASDASDASDGH-T919CN123TMB","3"
"","November","ASDASDASDGH-T919OI123TMB","1"
"","November","ASDASDASDGH-TASD19DASDASDASDBTMB","1"
"","November","ASDASDASDGH-TQWE59EG123GEN","1"
"","November","ASDASDASDGH-V205","2"
"","November","ASDASDASDGH-ZX20ZK123CIN","1"
"","November","ASDASDASDL-C1810W/X123123","1"
"","November","ASDASDASDM-G900RZK123LR123","4"
"","November","ASDASDASDM-G900VMK123VZW","3"
"","November","ASDASDASDM-N9000WDEMWD","3"
"","November","ASDASDASDM-N910VMKEVZW","12"
"","November","ASDASDASDM-T230NYKUBNN","9"
"","November","ASDASDASDM-T230NZWUBNN","7"
"","November","ASDASDASDM-T530NYKUBNN","3"
"","November","ASDASDASDMH9151B/X123123","1"
"","November","ASDASDASDMH920ASDASDASDASDT/X123123","1"
"","November","ASDASDASDPASDASDASDQWE2QWE3X/X123123","1"
"","November","ASDASDASDPH-123500","1"
"","November","ASDASDASDPH-LASD20ZKRASDASDASDPR","14"
"","November","ASDASDASDPH-LASD20ZPRASDASDASDPR","4"
"","November","ASDASDASDPH-LASD20ZWRASDASDASDPR","7"
"","November","ASDASDASDPH-NQWE00","2"
"","November","BD-C5900/X123123","1"
"","November","BD-C6500/X123123","1"
"","November","BD-D5500/Z123","2"
"","November","BD-D6500/Z123","2"
"","November","BD-E5900/Z123","2"
"","November","BD-E5ASD00/Z123","2"
"","November","BD-E6500/Z123","1"
"","November","BD-F5100/Z123","1"
"","November","BD-F5900/Z123","1"
"","November","BD-F5ASD00/Z123","2"
"","November","BD-FASD500/Z123","1"
"","November","BD-P1500/X123123","2"
"","November","BD-P1500C/X123123","1"
"","November","BD-P1590C/X123123","1"
"","November","BD-P1600/X123123","2"
"","November","BD-P3600/X123123","1"
"","November","BD-P3600123/X123123","1"
"","November","BHM6000ND123CASDASDASDT123","1"
"","November","CLP-QWE15NW/X123123","1"
"","November","CLX-31ASD5FW/X123123","1"
"","November","CLX-6260FW/X123123","1"
"","November","DMT800RHASDASDASD/X123123","1"
"","November","DPASD001233B-12301UASDASDASD","1"
"","November","DV218123GW/X123123","2"
"","November","DV5QWE51123EW/X123123","1"
"","November","DVD-131/X123123","1"
"","November","DVQWE2H5200EP/1233","1"
"","November","DVQWE31123EP/X123123","1"
"","November","EC-DV300FBPBUASDASDASD","1"
"","November","EC-TL220ZBPRUASDASDASD","1"
"","November","EC-TL225ZBPLUASDASDASD","1"
"","November","EK-GC200ZK123X123R","5"
"","November","ET-G900VMK123VZW","1"
"","November","HLASDASDASD5086WX/X123123","1"
"","November","HLK506WX/X123123","1"
"","November","HLP5063WX/X123123","1"
"","November","HLPQWE66ASDWX/X123123","1"
"","November","HLT56ASD5ASDASDASDX/X123123","1"
"","November","HLT56ASD6ASDASDASDX/X123123","1"
"","November","HMX-W300YN/X123123","1"
"","November","HPASDASDASD50ASD3X/X123123","1"
"","November","HPASDASDASDQWE253X/X123123","1"
"","November","HPT506QWEX/X123123","1"
"","November","HT-BD1250T/X123123","1"
"","November","HT-C550/X123123","1"
"","November","HT-C6ASD30W/X123123","1"
"","November","HT-DQWE500/Z123","1"
"","November","HT-E6500W/Z123","1"
"","November","HW-C560ASDASDASD/X123123","1"
"","November","HW-EQWE50/Z123","1"
"","November","LASDASDASD19DOWASDASDASDASDASDASD/X123123","1"
"","November","LASDASDASD19PEWASDASDASDFV/X123123","1"
"","November","LASDASDASD1ASDH123123JBJ/X123123","1"
"","November","LASDASDASD20TDNASDASDASDUV/Z123","1"
"","November","LASDASDASD21BRB123B/X123123","1"
"","November","LASDASDASD22DPWCBQ/X123123","1"
"","November","LASDASDASD2ASDEFHKUF/Z123","1"
"","November","LASDASDASD2QWEHUBCFJ/X123123","1"
"","November","LASDASDASD2QWETDNASDASDASDUV/Z123","1"
"","November","LASDASDASD30HUXCB/X123123","1"
"","November","LE19IASDASDASDBBQ","1"
"","November","LN32C350D1DXZ123","1"
"","November","LN32DQWE30G3DXZ123","1"
"","November","LN55C630K1FXZ123","1"
"","November","LN55CASD50R2FXZ123","1"
"","November","LNASDASDASD3251DX/X123123","1"
"","November","LNQWE0B650T1FXZ123","1"
"","November","LNQWE0C630K1FXZ123","1"
"","November","LNQWE61236501231FXZ123","1"
"","November","LNQWE6B530PASDFXZ123","1"
"","November","LNQWE6B630N1FXZ123","1"
"","November","LNQWE6B650T1FXZ123","1"
"","November","LNQWE6B6QWE0R3FXZ123","1"
"","November","LNQWE6BASD50U1FXZ123","1"
"","November","LNQWE6C530F1FXZ123","1"
"","November","LNQWE6C650L1FXZ123","1"
"","November","LNR328WX/X123123","1"
"","November","LNT2353HX/X123123","1"
"","November","LNT2632HX/X123123","1"
"","November","LNT3253HX/X123123","2"
"","November","LNT32QWE2HX/X123123","1"
"","November","LNTQWE6QWE2HX/X123123","1"
"","November","MJ1ASDCASDASDASDKB","1"
"","November","ML-1ASDQWE0/X123123","1"
"","November","ML-2510/X123123","1"
"","November","NE595R0123BASDASDASDR/123123","1"
"","November","NP305V5123-1230CUASDASDASD","1"
"","November","NP355EASDC-12301UASDASDASD","1"
"","November","NP5QWE0U3C-12303UB","1"
"","November","NPQWEASD0R5E-K02UB","1"
"","November","PN50123QWE00C2DXZ123","1"
"","November","PN50BQWE50B1DXZ123","2"
"","November","PNQWE2BQWE50B1DXZ123","1"
"","November","RASDASDASD265TDRASDASDASD/X123123","1"
"","November","RF265123123ASDASDASDH/X123123","1"
"","November","RFG293H123RASDASDASD/X123123","1"
"","November","RFG29ASD123BBP/X123123","1"
"","November","TASDASDASDL3295HFX/X123123","1"
"","November","UN32DQWE000NDXZ123","1"
"","November","UN32EH5300FXZ123","1"
"","November","UN32H5201123FXZ123","1"
"","November","UN50F6QWE00123FXZ123","1"
"","November","UN55B8000XFXZ123","1"
"","November","UN55BASD100WFXZ123","1"
"","November","UN55D6000ASDASDASDFXZ123","1"
"","November","UN55D8000YFXZ123","1"
"","November","UN55EASDASDASD6100FXZ123","1"
"","November","UN55EASDASDASDASD100FXZ123","1"
"","November","UN58H5202123FXZ123","1"
"","November","UN60HASD150123FXZ123","1"
"","November","UN65FASD100123FXZ123","3"
"","November","UN65HUASD250FXZ123","2"
"","November","UNQWE0EH5000FXZ123","1"
"","November","UNQWE0EH5050FXZ123","1"
"","November","UNQWE0EH5300FXZ123","1"
"","November","UNQWE0F6300123FXZ123","1"
"","November","UNQWE0FH6030FXZ123","1"
"","November","UNQWE0H5003123FXZ123","1"
"","November","UNQWE6C8000XFXZ123","1"
"","November","UNQWE6D6000ASDASDASDFXZ123","1"
"","November","UNQWE6D6003ASDASDASDFXZ123","2"
"","November","UNQWE6D6050TFXZ123","1"
"","November","UNQWE6DASD000LFXZ123","2"
"","November","UNQWE6EH6000FXZ123","1"
"","November","UNQWE6FASD100123FXZ123","1"
"","November","WF218123NW/X123123","2"
"","November","WFQWEQWE8123123W/X123123","1"
"","November","XE303C12-12301UASDASDASD","1"
"","November","XE500T1C-12302UASDASDASD","1"
"","November","XEASD00T1123-1230QWEUASDASDASD","1"
"","November","YP-G1CWY/X123123","1"
"","November","YP-P2J123B/X123123","1"
"","November","YP-Q2JCB/X123123","1"
"","November","YP-T10J123B/X123123","1"
"","November","YP-T9JQBY/X123123","1"
"","October","123ET10QWEVB123B/ASDASDASDTD","1"
"","October","123WEPQWE90PBECASDASDASDT123","1"
"","October","ASDASDASDC-D5000/X123123","1"
"","October","ASDASDASDCH-123650ASDASDASDASDASDASDVX123R","2"
"","October","ASDASDASDCH-I100ZK123X123R","1"
"","October","ASDASDASDCH-I535RWBVZW","8"
"","October","ASDASDASDCH-I5QWE5ZKBVZW","2"
"","October","ASDASDASDCH-R350ZW123X123R","1"
"","October","ASDASDASDCH-R500ZR123123TL","1"
"","October","ASDASDASDCH-U520NK123MTR","1"
"","October","ASDASDASDEG1238ASDASDRB123123TT","1"
"","October","ASDASDASDEG123ASD0ASDD123123CIN","2"
"","October","ASDASDASDEG123ASD6ASD123G123123TT","1"
"","October","ASDASDASDEGI60ASDZK123CIN","1"
"","October","ASDASDASDEGI61ASDEB123123TT","1"
"","October","ASDASDASDEGI61ASDWR123123TT","1"
"","October","ASDASDASDGH-123ASD0ASDD123123CIN","8"
"","October","ASDASDASDGH-C20ASDCASDASDASD123CIN","1"
"","October","ASDASDASDGH-CQWE1ASDZD123CIN","2"
"","October","ASDASDASDGH-D80ASDZK123CIN","2"
"","October","ASDASDASDGH-DQWE0ASDZK123CIN","1"
"","October","ASDASDASDGH-E315CASDASDASDBTMB","1"
"","October","ASDASDASDGH-E635OK123TMB","1"
"","October","ASDASDASDGH-I33ASDZBM123TT","4"
"","October","ASDASDASDGH-I33ASDZKN123TT","1"
"","October","ASDASDASDGH-I60ASDZK123CIN","5"
"","October","ASDASDASDGH-T219ASDASDASDR123TMB","1"
"","October","ASDASDASDGH-T219ASDASDASDRITMB","1"
"","October","ASDASDASDGH-T239D123WTMB","1"
"","October","ASDASDASDGH-T319NBBTMB","1"
"","October","ASDASDASDGH-T339RR123TMB","2"
"","October","ASDASDASDGH-T399RN123TMB","17"
"","October","ASDASDASDGH-T3QWE9EB123TMB","1"
"","October","ASDASDASDGH-T609PW123TMB","1"
"","October","ASDASDASDGH-T629123ASDASDASD123TMB","2"
"","October","ASDASDASDGH-T629123ASDASDASDBTMB","1"
"","October","ASDASDASDGH-T629123ASDASDASDRTMB","1"
"","October","ASDASDASDGH-T639LASDASDASD123TMB","1"
"","October","ASDASDASDGH-T809OK123TMB","1"
"","October","ASDASDASDGH-T819CNBTMB","1"
"","October","ASDASDASDGH-T919CN123TMB","1"
"","October","ASDASDASDGH-TQWE29OB123TMB","1"
"","October","ASDASDASDGH-X506HB123GEN","1"
"","October","ASDASDASDGH-XQWE26ZASDASDASD123123WASDASDASD","1"
"","October","ASDASDASDGH-XQWE9ASDZASDASDASD123CIN","2"
"","October","ASDASDASDGH-XQWEASD5LASDASDASDBTMB","2"
"","October","ASDASDASDIR-TASDASDASD360","1"
"","October","ASDASDASDL-M3820DW/X123123","1"
"","October","ASDASDASDM-G900RZK123LR123","1"
"","October","ASDASDASDM-N9000WDEMWD","2"
"","October","ASDASDASDM-N910VMKEVZW","1"
"","October","ASDASDASDM-T230NYKUBNN","6"
"","October","ASDASDASDM-T230NZWUBNN","8"
"","October","ASDASDASDMH8165B/X123123","1"
"","October","ASDASDASDMH918ASDASDASDASDT/X123123","1"
"","October","ASDASDASDMH918ASDASDASDASDT/X123C","1"
"","October","ASDASDASDPH-123920WASDASDASDASDASDASDX123R","2"
"","October","ASDASDASDPH-LASD20ZKRASDASDASDPR","24"
"","October","ASDASDASDPH-LASD20ZPRASDASDASDPR","5"
"","October","ASDASDASDPH-LASD20ZWRASDASDASDPR","7"
"","October","ASDASDASDPH-M300IASDASDASD123ASDASDASDPR","1"
"","October","ASDASDASDPH-M510ASDASDASDI123ASDASDASDPR","1"
"","October","ASDASDASDPH-M620ZK123ASDASDASDPR","1"
"","October","BD-F5900/Z123","1"
"","October","BD-H5100/Z123","1"
"","October","BD-P1500/X123123","2"
"","October","BD-P1600/X123123","2"
"","October","CLP-300/X123123","1"
"","October","CLP-315/XEV","1"
"","October","CLX-31ASD5FW/X123123","1"
"","October","CLX-QWE195FW/X123C","1"
"","October","DMR5ASDLFB/X123123","1"
"","October","DMTQWE00RHASDASDASD/X123123","1"
"","October","DV218123EW/X123123","1"
"","October","DV31ASD123EG/X123123","1"
"","October","DV330123GW/X123123","1"
"","October","DV365GTBGWR/1233","1"
"","October","DVD-F1080/X123123","1"
"","October","DVD-R120/X123123","1"
"","October","DVD-VR35ASD/X123123","1"
"","October","DVD-VR3QWE5/X123123","1"
"","October","EC-TL225ZBPLUASDASDASD","2"
"","October","EC-TL225ZBPOUASDASDASD","1"
"","October","EC-WB1100BPRUASDASDASD","1"
"","October","EC-WB30FZBPBUASDASDASD","1"
"","October","EC-WBASD00ZBPBUASDASDASD","1"
"","October","EK-GC200ZK123X123R","5"
"","October","EV-NX1000BFWUASDASDASD","1"
"","October","EV-NX2000BGWUASDASDASD","1"
"","October","FTQ353IWUX/X123123","1"
"","October","GD1ASDNASDASDASDASDASDASDASDASDASD","1"
"","October","HCPQWE363WX/X123123","1"
"","October","HLASDASDASD6ASD6ASDWX/X123123","1"
"","October","HLPQWE663WX/X123123","1"
"","October","HLR56ASD8WX/X123123","1"
"","October","HLRQWE266WX/X123123","1"
"","October","HPASDASDASDQWE233X/X123123","1"
"","October","HPASDASDASDQWE253X/X123123","1"
"","October","HPR5012X/X123123","1"
"","October","HT-123ASDASDASDASD30ASDASDASDT/X123123","1"
"","October","HT-D6500W/Z123","1"
"","October","LASDASDASD19MEBASDASDASDBD/X123123","1"
"","October","LASDASDASD19MEWASDASDASDFY/X123123","1"
"","October","LASDASDASD1ASDH123123KB/X123123","1"
"","October","LASDASDASD26TDNASDASDASDUV/Z123","1"
"","October","LASDASDASD2ASDB350HASDASDASD/Z123","1"
"","October","LASDASDASD2QWETDNASDASDASDUV/Z123","1"
"","October","LASDASDASD30HUBCB/X123123","1"
"","October","LHQWE6MGULBF/Z123","1"
"","October","LN32DQWE50G1DXZ123","1"
"","October","LN3ASD123550P3FXZ123","1"
"","October","LN52123550P3FXZ123","1"
"","October","LN521236501231FXZ123","1"
"","October","LNASDASDASDQWE095DX/X123123","1"
"","October","LNQWE6C600F3FXZ123","1"
"","October","LNQWE6C630K1FXZ123","1"
"","October","LNRQWE09DX/X123123","1"
"","October","LNTQWE053HX/X123123","1"
"","October","LNTQWE661FX/X123123","1"
"","October","LNTQWE665FX/X123123","1"
"","October","ME1ASD9KFETASDASDASDR/123123","1"
"","October","MJ1ASD123ASDASDASDASDASDASDBY","1"
"","October","ML-1865W/XBG","1"
"","October","ML-2855ND/X123123","1"
"","October","ML-3312ND/X123123","1"
"","October","MR1032BB/X123123","1"
"","October","MZ-ASDTE250KW","1"
"","October","NE59QWER0123BASDASDASDR/123123","1"
"","October","NP-Q1-F000/ASDASDASDE123","1"
"","October","NP-QXQWE11-W02UB","1"
"","October","NP-R580-JASDASDASDB1UASDASDASD","1"
"","October","NP900X3123-B01UB","1"
"","October","NP900X3B-12301UASDASDASD","1"
"","October","NP9QWE0X5J-K01UASDASDASD","1"
"","October","NP9QWE0X5J-K02UASDASDASD","1"
"","October","NPASD00ZASDC-ASDASDASD01UASDASDASD","1"
"","October","NX583G0VBASDASDASDR/123123","1"
"","October","PNQWE2CQWE50B1DXZ123","1"
"","October","PNQWE3EQWE501231FXZ123","1"
"","October","PO2QWEFASDASDASDASDASDASDBASDASDASD","1"
"","October","RASDASDASD25QWEQWEASDASDASDL/X123123","1"
"","October","RF265123CBP/X123123","1"
"","October","RF26ASD123ERASDASDASD/X123123","1"
"","October","RFG29ASD123123WP/X123123","1"
"","October","RFQWE26ASDH123RASDASDASD/X123123","1"
"","October","UN32H5500123FXZ123","1"
"","October","UN55CASD000WFXZ123","1"
"","October","UN55D6050TFXZ123","1"
"","October","UN55EASDASDASD6100FXZ123","1"
"","October","UN55F8000BFXZ123","1"
"","October","UN55H6350123FXZ123","1"
"","October","UN60D6000ASDASDASDFXZ123","1"
"","October","UN60HASD150123FXZ123","1"
"","October","UN65C8000XFXZ123","1"
"","October","UN65FASD100123FXZ123","1"
"","October","UNQWE0C6300ASDASDASDFXZ123","1"
"","October","UNQWE0D6000ASDASDASDFXZ123","1"
"","October","UNQWE0D6QWE00UFXZ123","1"
"","October","UNQWE0H6350123FXZ123","1"
"","October","UNQWE6F8000BFXZ123","1"
"","October","W123QWE00PJHDWR/123123","1"
"","October","WF209123NW/X123123","1"
"","October","WF218123NW/X123123","1"
"","October","WF219123NW/X123123","1"
"","October","WF31ASD123123G/X123123","1"
"","October","WF330123NW/X123123","1"
"","October","XE303C12-12301UASDASDASD","1"
"","October","XE500T1C-1230QWEUASDASDASD","1"
"","October","YP-ASDASDASD3J123B/X123123","2"
"","October","YP-P2J123B/X123123","1"
"","October","YP-P3JEB/X123123","1"
"","September","123T123DASDASDASD10JBEBASDASDASDTD","1"
"","September","ASDASDASDASDASDASDG-3100GB/Z123","8"
"","September","ASDASDASDC-DX205/X123123","1"
"","September","ASDASDASDCASDASDASD-26UCQWE","1"
"","September","ASDASDASDCH-I535RWBVZW","9"
"","September","ASDASDASDCH-I830MASDASDASD123ASDASDASDPR","1"
"","September","ASDASDASDCH-IASD30ZKVX123R","2"
"","September","ASDASDASDCH-R350TG123X123R","1"
"","September","ASDASDASDCH-R350WR123MTR","1"
"","September","ASDASDASDCH-R351TG123123TL","1"
"","September","ASDASDASDCH-RQWE10ZR123MTR","1"
"","September","ASDASDASDCH-RQWE20D123123MTR","1"
"","September","ASDASDASDCH-RQWE30ZASDASDASDP123TL","1"
"","September","ASDASDASDECIASDASD0DB123VZW","1"
"","September","ASDASDASDEG12383ASDDK123123TT","1"
"","September","ASDASDASDEG123ASD1ASDZK123123TT","1"
"","September","ASDASDASDGH-123226HB123GEN","1"
"","September","ASDASDASDGH-1238ASDASDRBZ123TT","2"
"","September","ASDASDASDGH-123QWE36ZK123GEN","2"
"","September","ASDASDASDGH-CQWE1ASDZD123CIN","1"
"","September","ASDASDASDGH-E316CASDASDASD123123WASDASDASD","1"
"","September","ASDASDASDGH-I33ASDZBM123TT","3"
"","September","ASDASDASDGH-T239D123WTMB","1"
"","September","ASDASDASDGH-T319NBBTMB","1"
"","September","ASDASDASDGH-T339RR123TMB","1"
"","September","ASDASDASDGH-T669123123123TMB","1"
"","September","ASDASDASDGH-T669123RBTMB","1"
"","September","ASDASDASDGH-T809OKBTMB","1"
"","September","ASDASDASDGH-TQWE39ZB123TMB","1"
"","September","ASDASDASDGH-X506HB123GEN","1"
"","September","ASDASDASDGH-XQWE26ZASDASDASD123123WASDASDASD","2"
"","September","ASDASDASDGH-XQWE95WASDASDASDBTMB","1"
"","September","ASDASDASDM-G900VMK123VZW","2"
"","September","ASDASDASDM-N9000WDEMWD","4"
"","September","ASDASDASDM-T230NYKUBNN","7"
"","September","ASDASDASDM-T230NZWUBNN","3"
"","September","ASDASDASDMHASD18ASDASDASDASDTG/X123123","1"
"","September","ASDASDASDPH-I350DL123ASDASDASDPR","1"
"","September","ASDASDASDPH-I500ASDASDASDASDASDASD/X123R","1"
"","September","ASDASDASDPH-LASD20ZKRASDASDASDPR","19"
"","September","ASDASDASDPH-LASD20ZPRASDASDASDPR","5"
"","September","ASDASDASDPH-LASD20ZWRASDASDASDPR","3"
"","September","ASDASDASDPH-M630ZB123ASDASDASDPR","2"
"","September","BD-C5500C/X123123","1"
"","September","BD-C5900/X123123","1"
"","September","BD-C6800/X123123","1"
"","September","BD-C6900/X123123","1"
"","September","BD-D5500/Z123","1"
"","September","BD-D5ASD00/Z123","1"
"","September","BD-E5900/Z123","1"
"","September","BD-FM5ASDC/Z123","1"
"","September","BD-P1500/X123123","1"
"","September","BI19BASDASDASDASDASDASDB","1"
"","September","CLP-315W/X123123","1"
"","September","CLP-680ND/X123123","2"
"","September","CLX-3305FW/X123C","1"
"","September","CLX-6260FW/X123123","1"
"","September","CM1020B/X123123","1"
"","September","DMT800RHASDASDASD/X123123","1"
"","September","DV210123EW/X123123","1"
"","September","DVD-P3QWE1/X123123","1"
"","September","DVD1080/X123123","1"
"","September","EC-ASDASDASDL605ZBPUUASDASDASD","1"
"","September","EC-ASDASDASDLQWE20123BP/UASDASDASD","1"
"","September","EF-BT210BASDASDASDEGUJ","1"
"","September","EK-GC200ZK123X123R","7"
"","September","GT-I9000HK123BMC","1"
"","September","HCPQWEASD52WX/X123123","1"
"","September","HLASDASDASD5086WX/X123123","1"
"","September","HLASDASDASD56ASD9WX/X123123","1"
"","September","HLASDASDASDQWE266WX/X123123","1"
"","September","HLN61ASDWX/X123123","1"
"","September","HLP5063WX/X123123","1"
"","September","HLT50ASD6ASDASDASDX/X123123","1"
"","September","HMX-H300BN/X123123","1"
"","September","HMX-R10BN/X123C","1"
"","September","HPASDASDASDQWE253X/X123123","1"
"","September","HT-XASD0T/X123123","1"
"","September","HT-XQWE0T","1"
"","September","HT-Z310T/X123123","1"
"","September","HTDB600TH/X123123","1"
"","September","LASDASDASD19MJQKASDASDASDB/X123123","1"
"","September","LASDASDASD20H123WCBQ/X123123","2"
"","September","LASDASDASD20MEWASDASDASDFV/X123123","1"
"","September","LASDASDASD20MYKRFV/X123123","1"
"","September","LASDASDASD22DPWCBQ/X123123","1"
"","September","LASDASDASD22MEWASDASDASDFV/X123123","1"
"","September","LASDASDASD2ASDB350HASDASDASD/Z123","1"
"","September","LASDASDASD2QWEKIZKFV/Z123","1"
"","September","LN32123550P3FXZ123","1"
"","September","LN32DQWE50G1DXZ123","1"
"","September","LN3ASD123550P3FXZ123","1"
"","September","LN52123630M1FXZ123","1"
"","September","LN521236501231FXZ123","2"
"","September","LN52123ASD50R1FXZ123","2"
"","September","LN55B6QWE0R3FXZ123","1"
"","September","LNQWE0123550P3FXZ123","1"
"","September","LNQWE0C550J1FXZ123","1"
"","September","LNQWE6123550P3FXZ123","1"
"","September","LNQWE6123850ASDASDASD1FXZ123","1"
"","September","LNT3ASD5H123X/X123123","1"
"","September","LNTQWE053HX/X123123","1"
"","September","ML-2010/X123123","1"
"","September","MZ-ASDTE250BW","1"
"","September","NP-RV520-W01UASDASDASD","1"
"","September","PCJ522RX/X123123","1"
"","September","PN50123650T1FXZ123","1"
"","September","PN50B860Y2FXZ123","1"
"","September","PN50C550G1FXZ123","1"
"","September","PN50CQWE50B1DXZ123","1"
"","September","PN51EASD000FFXZ123","1"
"","September","PNQWE2CQWE50B1DXZ123","1"
"","September","RASDASDASD2630ASDASDASDH/X123123","1"
"","September","RASDASDASD26ASDL123BP/X123123","1"
"","September","RB15NASDASDASDASDASDASDG","1"
"","September","RB195123BPN/X123123","1"
"","September","RF19ASD123CRASDASDASD/X123C","1"
"","September","RF263123EWP/X123123","1"
"","September","RFG298HDBP/X123123","1"
"","September","RFG29ASDHDBP/X123123","1"
"","September","RFQWE289H123RASDASDASD/X123123","1"
"","September","TXN32ASD1HFX/X123123","1"
"","September","UN26DQWE003BDXZ123","1"
"","September","UN32DQWE005BDXZ123","1"
"","September","UN32EH5300FXZ123","2"
"","September","UN32EHQWE003FXZ123","1"
"","September","UN39FH5000FXZ123","1"
"","September","UN3ASDEH5000FXZ123","1"
"","September","UN50H5203123FXZ123","1"
"","September","UN55DASD000LFXZ123","1"
"","September","UN55EASDASDASD6003FXZ123","1"
"","September","UN55EASDASDASDASD500FXZ123","2"
"","September","UN60EASDASDASD6100FXZ123","1"
"","September","UNQWE0D6QWE00UFXZ123","1"
"","September","UNQWE0EASDASDASD6500FXZ123","1"
"","September","UNQWE6EASDASDASDASD100FXZ123","1"
"","September","UNQWE6F5500123FXZ123","1"
"","September","WF210123NW/X123123","1"
"","September","WFQWEQWE8123123P/X123123","1"
"","September","XE500C21-H01UASDASDASD","1"
"","September","YP-GASDASDASD1CB/X123123","1"
"","September","YP-T9JQB/X123123","1"
"AIO","April","ASDASDASDGH-I33ASDZKZ123IO","7"
"AIO","April","ASDASDASDM-G900123ZKZ123IO","3"
"AIO","August","ASDASDASDM-G900123ZKZ123IO","3"
"AIO","December","ASDASDASDGH-I33ASDZKZ123IO","2"
"AIO","December","ASDASDASDM-G900123ZKZ123IO","1"
"AIO","February","ASDASDASDGH-I33ASDZKZ123IO","3"
"AIO","February","ASDASDASDM-G900123ZKZ123IO","1"
"AIO","January","ASDASDASDGH-I33ASDZKZ123IO","2"
"AIO","January","ASDASDASDM-G900123ZKZ123IO","2"
"AIO","July","ASDASDASDGH-I33ASDZKZ123IO","1"
"AIO","July","ASDASDASDM-G900123ZKZ123IO","3"
"AIO","June","ASDASDASDGH-I33ASDZKZ123IO","3"
"AIO","March","ASDASDASDGH-I33ASDZKZ123IO","4"
"AIO","March","ASDASDASDM-G900123ZKZ123IO","4"
"AIO","November","ASDASDASDGH-I33ASDZKZ123IO","1"
"AIO","November","ASDASDASDM-G900123ZKZ123IO","1"
"AIO","October","ASDASDASDGH-I33ASDZKZ123IO","7"
"AIO","October","ASDASDASDM-G900123ZKZ123IO","4"
"AIO","September","ASDASDASDGH-I33ASDZKZ123IO","1"
"AIO","September","ASDASDASDM-G900123ZKZ123IO","2"
"ALLTEL","April","ASDASDASDCH-R800ZK123123TL","1"
"ALLTEL","February","ASDASDASDCH-R600ZB123123TL","1"
"ALLTEL","February","ASDASDASDCH-R800ZK123123TL","2"
"ALLTEL","January","ASDASDASDCH-R800ZK123123TL","1"
"ALLTEL","June","ASDASDASDCH-UQWE50MR123123TL","1"
"AT&T","April","ASDASDASDGH-12323ASDLB123123TT","1"
"AT&T","April","ASDASDASDGH-12325ASDUR123123TT","1"
"AT&T","April","ASDASDASDGH-12359ASDZB123123TT","6"
"AT&T","April","ASDASDASDGH-12368ASDLB123123TT","1"
"AT&T","April","ASDASDASDGH-12368ASDZP123123TT","2"
"AT&T","April","ASDASDASDGH-12369ASDZK123123TT","1"
"AT&T","April","ASDASDASDGH-12383ASDDK123123TT","1"
"AT&T","April","ASDASDASDGH-12386ASDZK123123TT","5"
"AT&T","April","ASDASDASDGH-12388ASDZK123123TT","4"
"AT&T","April","ASDASDASDGH-12389ASDZK123123TT","1"
"AT&T","April","ASDASDASDGH-1238ASDASDRB123123TT","7"
"AT&T","April","ASDASDASDGH-12392ASDZ123123123TT","2"
"AT&T","April","ASDASDASDGH-123ASD0ASDD123C123TT","1"
"AT&T","April","ASDASDASDGH-123ASD6ASD123G123123TT","1"
"AT&T","April","ASDASDASDGH-123ASD9ASDWR123123TT","1"
"AT&T","April","ASDASDASDGH-123ASDASDASDOR123123TT","2"
"AT&T","April","ASDASDASDGH-123QWE3ASDD123123123TT","2"
"AT&T","April","ASDASDASDGH-I25ASDZK123123TT","2"
"AT&T","April","ASDASDASDGH-I31ASDTASDASDASD123123TT","15"
"AT&T","April","ASDASDASDGH-I31ASDZW123123TT","7"
"AT&T","April","ASDASDASDGH-I33ASDZK123123TT","29"
"AT&T","April","ASDASDASDGH-I33ASDZKM123TT","32"
"AT&T","April","ASDASDASDGH-I33ASDZR123123TT","4"
"AT&T","April","ASDASDASDGH-I33ASDZRM123TT","9"
"AT&T","April","ASDASDASDGH-I33ASDZW123123TT","16"
"AT&T","April","ASDASDASDGH-I33ASDZWM123TT","25"
"AT&T","April","ASDASDASDGH-I52ASDZKB123TT","1"
"AT&T","April","ASDASDASDGH-I53ASDZ123123123TT","3"
"AT&T","April","ASDASDASDGH-I53ASDZ123M123TT","17"
"AT&T","April","ASDASDASDGH-I53ASDZB123123TT","2"
"AT&T","April","ASDASDASDGH-I53ASDZBM123TT","15"
"AT&T","April","ASDASDASDGH-I5QWEASDZK123123TT","3"
